0	1.888
1	0.876
2	0.967
3	0.927
4	0.955
5	0.958
6	0.957
7	0.969
8	0.973
9	0.98
10	0.989
11	1.955
12	0.979
13	0.981
14	0.968
15	0.971
16	0.99
17	0.985
18	0.994
19	0.986
20	0.972
21	0.959
22	1.99
23	0.996
24	0.982
25	0.984
26	0.983
27	0.981
28	0.978
29	0.985
30	0.985
31	0.974
32	0.976
33	0.98
34	0.978
35	0.978
36	0.974
37	0.993
38	0.981
39	0.989
40	0.97
41	0.987
42	0.99
43	0.993
44	0.995
45	0.998
46	0.986
47	0.985
48	0.985
49	0.981
50	0.988
51	0.984
52	0.983
53	0.988
54	0.978
55	0.987
56	0.988
57	0.993
58	0.985
59	0.977
60	1.9849999999999999
61	0.988
62	0.974
63	0.988
64	0.982
65	0.988
66	0.984
67	0.993
68	0.999
69	0.976
70	0.983
71	0.989
72	0.992
73	0.987
74	0.984
75	0.982
76	0.989
77	0.987
78	0.983
79	0.98
80	0.993
81	0.987
82	0.982
83	0.981
84	0.986
85	0.995
86	0.987
87	0.966
88	0.982
89	0.991
90	0.978
91	0.979
92	0.995
93	0.984
94	0.991
95	0.986
96	0.987
97	0.987
98	0.995
99	0.993
100	0.989
101	0.989
102	0.984
103	0.983
104	0.99
105	0.988
106	0.99
107	0.997
108	0.989
109	0.988
110	1.9729999999999999
111	0.99
112	1.983
113	0.99
114	0.977
115	0.985
116	0.984
117	0.98
118	0.985
119	0.989
120	0.971
121	0.99
122	0.979
123	0.98
124	0.977
125	0.983
126	0.993
127	0.987
128	0.995
129	0.994
130	0.982
131	0.991
132	0.987
133	0.978
134	0.998
135	0.981
136	0.986
137	0.964
138	0.981
139	0.987
140	0.991
141	0.988
142	0.992
143	0.985
144	0.995
145	0.994
146	0.984
147	0.979
148	0.993
149	0.991
150	0.988
151	0.99
152	0.966
153	0.978
154	0.982
155	0.974
156	0.991
157	0.98
158	0.983
159	0.974
160	0.986
161	0.984
162	0.987
163	0.985
164	0.991
165	0.973
166	0.995
167	0.988
168	0.987
169	0.991
170	0.993
171	0.982
172	0.986
173	0.993
174	0.983
175	0.99
176	0.979
177	0.963
178	0.977
179	0.989
180	0.989
181	0.985
182	0.971
183	0.984
184	0.997
185	0.994
186	0.982
187	0.986
188	0.987
189	0.97
190	0.991
191	0.985
192	0.993
193	0.983
194	0.99
195	0.975
196	0.982
197	0.979
198	0.988
199	0.969
200	0.98
201	0.986
202	0.988
203	0.984
204	0.99
205	0.992
206	0.989
207	0.994
208	0.996
209	0.989
210	0.994
211	0.996
212	0.99
213	0.981
214	0.979
215	0.99
216	0.994
217	0.989
218	1.987
219	0.956
220	0.994
221	0.993
222	0.99
223	0.983
224	0.985
225	0.985
226	0.978
227	0.989
228	0.994
229	0.988
230	0.978
231	0.99
232	0.973
233	0.992
234	0.992
235	0.982
236	0.979
237	0.976
238	0.984
239	0.993
240	0.984
241	0.98
242	0.991
243	0.988
244	0.992
245	0.985
246	0.993
247	0.983
248	0.987
249	0.988
250	0.976
251	0.991
252	0.985
253	0.976
254	0.988
255	0.992
256	0.987
257	1.984
258	0.988
259	0.977
260	0.98
261	0.977
262	0.978
263	0.988
264	0.985
265	0.994
266	0.991
267	0.978
268	0.976
269	0.986
270	0.993
271	0.99
272	0.976
273	0.985
274	0.988
275	0.983
276	2.984
277	0.988
278	0.985
279	0.99
280	0.99
281	1.991
282	0.994
283	0.982
284	0.983
285	0.987
286	0.99
287	0.994
288	0.995
289	0.989
290	0.965
291	0.995
292	0.992
293	0.991
294	0.993
295	0.994
296	0.986
297	0.982
298	0.985
299	0.992
300	0.981
301	0.99
302	0.987
303	0.987
304	0.989
305	0.991
306	0.987
307	0.989
308	0.99
309	0.989
310	0.985
311	0.98
312	0.982
313	1.987
314	0.998
315	0.994
316	0.981
317	0.991
318	0.989
319	0.986
320	0.995
321	0.975
322	0.974
323	0.984
324	0.99
325	0.981
326	0.973
327	0.99
328	0.994
329	0.982
330	0.981
331	0.992
332	0.99
333	0.986
334	0.977
335	0.989
336	0.978
337	0.991
